
Thread execution
Web Server Type,Request number,Initial request time,Final request time, File type, File size (bytes), Response time
FIFO,20,Fri Apr 19 23:23:39 2019,Fri Apr 19 23:23:39 2019,jpg,118202,0.061711,0.000000

Thread execution
Web Server Type,Request number,Initial request time,Final request time, File type, File size (bytes), Response time
FIFO,20,Fri Apr 19 23:23:39 2019,Fri Apr 19 23:23:39 2019,jpg,118202,0.061712,0.000000

Thread execution
Web Server Type,Request number,Initial request time,Final request time, File type, File size (bytes), Response time
FIFO,20,Fri Apr 19 23:23:39 2019,Fri Apr 19 23:23:39 2019,jpg,118202,0.082001,0.000000

Thread execution
Web Server Type,Request number,Initial request time,Final request time, File type, File size (bytes), Response time
FIFO,20,Fri Apr 19 23:23:39 2019,Fri Apr 19 23:23:39 2019,jpg,118202,0.082001,0.000000

Thread execution
Web Server Type,Request number,Initial request time,Final request time, File type, File size (bytes), Response time
FIFO,20,Fri Apr 19 23:23:39 2019,Fri Apr 19 23:23:39 2019,jpg,118202,0.082000,0.000000

Thread execution
Web Server Type,Request number,Initial request time,Final request time, File type, File size (bytes), Response time
FIFO,20,Fri Apr 19 23:23:39 2019,Fri Apr 19 23:23:39 2019,jpg,118202,0.081998,0.000000

Thread execution
Web Server Type,Request number,Initial request time,Final request time, File type, File size (bytes), Response time
FIFO,20,Fri Apr 19 23:23:39 2019,Fri Apr 19 23:23:39 2019,jpg,118202,0.081997,0.000000

Thread execution
Web Server Type,Request number,Initial request time,Final request time, File type, File size (bytes), Response time
FIFO,20,Fri Apr 19 23:23:39 2019,Fri Apr 19 23:23:39 2019,jpg,118202,0.089551,0.000000

Thread execution
Web Server Type,Request number,Initial request time,Final request time, File type, File size (bytes), Response time
FIFO,20,Fri Apr 19 23:23:39 2019,Fri Apr 19 23:23:39 2019,jpg,118202,0.089551,0.000000

Thread execution
Web Server Type,Request number,Initial request time,Final request time, File type, File size (bytes), Response time
FIFO,20,Fri Apr 19 23:23:39 2019,Fri Apr 19 23:23:39 2019,jpg,118202,0.089547,0.000000

Complete execution
Web Server Type,Request number,Initial request time,Final request time, File type, File size (bytes), Response time, Average time
FIFO,20,Fri Apr 19 23:23:39 2019,Fri Apr 19 23:23:39 2019,jpg,118202,0.089975,0.080207

Thread execution
Web Server Type,Request number,Initial request time,Final request time, File type, File size (bytes), Response time
FIFO,100,Fri Apr 19 23:23:39 2019,Fri Apr 19 23:23:40 2019,jpg,118202,1.111403,0.000000

Complete execution
Web Server Type,Request number,Initial request time,Final request time, File type, File size (bytes), Response time, Average time
FIFO,100,Fri Apr 19 23:23:39 2019,Fri Apr 19 23:23:40 2019,jpg,118202,1.111576,1.111403
